"","RentRs","RentUSD","Posted.On","BHK","Size","Floor","Apt.Floor","Total.Floor","Area.Type","Area.Locality","City","Furnishing.Status","Tenant.Preferred","Bathroom","Point.of.Contact","Month.Num","Month"
"1826",11000,132,2022-06-27,2,1080,"3 out of 5",3,5,"Super Area","Hosakerehalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1827",50000,600,2022-06-23,3,1450,"3 out of 4",3,4,"Super Area","Old Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",6,"June"
"1828",13500,162,2022-05-23,2,700,"2 out of 3",2,3,"Super Area","Anantapura","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1829",16500,198,2022-06-03,2,1200,"2 out of 4",2,4,"Super Area","Bannerghatta Main Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1830",120000,1440,2022-07-01,3,2110,"3 out of 4",3,4,"Carpet Area","Richmond Town, Richmond Town","Bangalore","Unfurnished","Bachelors",3,"Contact Agent",7,"July"
"1831",7000,84,2022-07-04,1,500,"2 out of 4",2,4,"Super Area","Bilekahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",7,"July"
"1832",10000,120,2022-07-04,2,850,"2 out of 3",2,3,"Super Area","Jyothi Nagar, Dooravani Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",7,"July"
"1833",7000,84,2022-05-10,1,400,"2 out of 3",2,3,"Super Area","Bikasipura, kanakapura Road","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1834",18000,216,2022-06-04,1,800,"Ground out of 2",1,2,"Super Area","Gottigere","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1835",11000,132,2022-06-08,1,600,"2 out of 4",2,4,"Super Area","Kudlu","Bangalore","Semi-Furnished","Family",1,"Contact Owner",6,"June"
"1836",9000,108,2022-05-27,1,450,"2 out of 3",2,3,"Super Area","Nandini Layout","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1837",60000,720,2022-07-06,3,2080,"2 out of 5",2,5,"Carpet Area","Frazer Town","Bangalore","Semi-Furnished","Family",3,"Contact Owner",7,"July"
"1838",12500,150,2022-05-10,2,650,"3 out of 4",3,4,"Super Area","Banashankari","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1839",16000,192,2022-06-04,2,1100,"2 out of 4",2,4,"Super Area","Padmanabha Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1840",30000,360,2022-06-16,2,1025,"2 out of 4",2,4,"Carpet Area","Indira Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent",6,"June"
"1841",17000,204,2022-06-06,2,1100,"1 out of 4",1,4,"Carpet Area","Bannerghatta Main Road","Bangalore","Semi-Furnished","Bachelors",2,"Contact Agent",6,"June"
"1842",8000,96,2022-05-19,1,350,"2 out of 3",2,3,"Super Area","Banaswadi","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1843",16500,198,2022-07-05,2,1050,"Ground out of 2",1,2,"Super Area","Vidyaranyapura","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1844",13000,156,2022-06-27,2,600,"2 out of 3",2,3,"Super Area","Banashankari Stage 3, Banashankari","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1845",12000,144,2022-07-06,2,800,"1 out of 1",1,1,"Super Area","Horamavu Agara, Hormavu","Bangalore","Semi-Furnished","Family",2,"Contact Owner",7,"July"
"1846",17000,204,2022-05-19,2,700,"2 out of 5",2,5,"Super Area","Jp Nagar Phase 7, J P Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1847",15000,180,2022-05-19,3,750,"1 out of 2",1,2,"Super Area","Hmt Layout Block 4, Vidyaranyapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1848",35000,420,2022-06-18,3,1600,"20 out of 25",20,25,"Super Area","Hennur Main Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner",6,"June"
"1849",13000,156,2022-05-10,2,1180,"1 out of 3",1,3,"Carpet Area","Electronic City","Bangalore","Semi-Furnished","Family",2,"Contact Owner",5,"May"
"1850",12000,144,2022-04-29,2,1400,"2 out of 4",2,4,"Super Area","Kothanur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4,"April"
"1851",10000,120,2022-04-29,1,750,"2 out of 5",2,5,"Super Area","whitefield","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",4,"April"
"1852",9000,108,2022-06-04,2,580,"Ground out of 3",1,3,"Carpet Area","Visthar","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner",6,"June"
"1853",6000,72,2022-06-04,1,350,"Ground out of 1",1,1,"Super Area","K R Puram","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1854",8900,106.8,2022-05-11,2,1100,"1 out of 2",1,2,"Super Area","Sarjapur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1855",40000,480,2022-06-30,3,1900,"3 out of 6",3,6,"Carpet Area","Basavanagudi","Bangalore","Unfurnished","Bachelors",3,"Contact Agent",6,"June"
"1856",24000,288,2022-06-23,2,1105,"1 out of 4",1,4,"Carpet Area","Syndicate Bank Colony, Arakere","Bangalore","Furnished","Bachelors/Family",2,"Contact Agent",6,"June"
"1857",18500,222,2022-07-05,2,1080,"3 out of 12",3,12,"Carpet Area","Jalahalli, Jalahalli, Outer Ring Road","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1858",16000,192,2022-06-13,2,1281,"1 out of 5",1,5,"Super Area","Padmanabha Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1859",8000,96,2022-05-23,1,600,"Ground out of 3",1,3,"Super Area","Uttarahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1860",15000,180,2022-07-04,2,850,"Ground out of 3",1,3,"Super Area","Horamavu","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1861",27000,324,2022-07-04,2,1200,"2 out of 5",2,5,"Super Area","Hennur, Hennur Bagalur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1862",17000,204,2022-07-04,2,900,"4 out of 5",4,5,"Super Area","Bhuvaneswari Nagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1863",50000,600,2022-07-06,3,1250,"3 out of 5",3,5,"Carpet Area","Bhel Township- Malleshwaram, Malleshwaram","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",7,"July"
"1864",14000,168,2022-06-22,2,800,"3 out of 3",3,3,"Carpet Area","Ews Colony, BTM Layout","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",6,"June"
"1865",5000,60,2022-05-14,1,500,"Ground out of 3",1,3,"Super Area","Peenya 2nd Stage","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1866",8000,96,2022-04-28,2,600,"2 out of 3",2,3,"Super Area","Electronic City Phase 2, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4,"April"
"1867",20000,240,2022-05-19,3,904,"1 out of 5",1,5,"Super Area","Gottigere Main Rd","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1868",15000,180,2022-06-27,2,750,"1 out of 4",1,4,"Super Area","Banashankari Stage 2, Banashankari","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1869",20000,240,2022-07-07,3,1252,"3 out of 5",3,5,"Carpet Area","Kogilu","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1870",11000,132,2022-05-20,2,1200,"1 out of 2",1,2,"Super Area","Bhel Layout, Rajarajeshwari Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1871",8500,102,2022-05-14,2,440,"2 out of 4",2,4,"Super Area","Kamala Nagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1872",22500,270,2022-05-23,3,1600,"2 out of 4",2,4,"Carpet Area","Bohra Layout, Gottigere, bannerghatta main Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",5,"May"
"1873",15000,180,2022-06-04,2,1200,"3 out of 4",3,4,"Super Area","Kodigenahalli","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1874",11000,132,2022-05-18,2,950,"2 out of 3",2,3,"Carpet Area","Begur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1875",11000,132,2022-06-27,2,800,"Ground out of 4",1,4,"Super Area","Battarahalli","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1876",9000,108,2022-05-24,2,1000,"1 out of 3",1,3,"Carpet Area","Budigere Cross","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1877",120000,1440,2022-07-09,3,2770,"3 out of 22",3,22,"Super Area","Dollars Colony-Rmv Extension Stage 2, RMV Extension Stage 2","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",7,"July"
"1878",15000,180,2022-06-04,2,800,"Ground out of 4",1,4,"Super Area","Bilekahalli","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1879",7000,84,2022-06-20,1,400,"Ground out of 2",1,2,"Super Area","Mathikere","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1880",5000,60,2022-05-23,1,144,"Ground out of 1",1,1,"Super Area","Padmanabha Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1881",18000,216,2022-05-27,1,600,"2 out of 4",2,4,"Super Area","Itpl, Whitefield","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1882",45000,540,2022-05-27,3,2200,"2 out of 4",2,4,"Carpet Area","Hsr Layout Sector 6, HSR Layout","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent",5,"May"
"1883",21000,252,2022-07-07,2,1005,"2 out of 5",2,5,"Carpet Area","Indira Nagar","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",7,"July"
"1884",10000,120,2022-06-20,2,1200,"Ground out of 1",1,1,"Super Area","Ramamurthy Nagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1885",15000,180,2022-05-19,2,1180,"Ground out of 5",1,5,"Super Area","Bommanahalli","Bangalore","Semi-Furnished","Family",2,"Contact Owner",5,"May"
"1886",11000,132,2022-05-19,2,900,"2 out of 3",2,3,"Super Area","T Dasarahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1887",7500,90,2022-06-30,1,500,"1 out of 2",1,2,"Carpet Area","Hosa Road Junction","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1888",22000,264,2022-07-08,3,1100,"2 out of 4",2,4,"Carpet Area","East Of Ngef Layout, Bennigana Halli","Bangalore","Semi-Furnished","Family",2,"Contact Owner",7,"July"
"1889",17000,204,2022-05-31,2,1100,"1 out of 3",1,3,"Super Area","Malleshpalya, Kaggadasapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1890",6000,72,2022-05-27,1,400,"3 out of 4",3,4,"Super Area","Parappana Agrahara","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1891",20000,240,2022-05-27,2,1250,"3 out of 4",3,4,"Super Area","Ags Layout, Hebbal","Bangalore","Semi-Furnished","Family",2,"Contact Owner",5,"May"
"1892",18000,216,2022-05-23,2,600,"Ground out of 2",1,2,"Super Area","Marathahalli","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1893",13000,156,2022-06-23,2,780,"1 out of 3",1,3,"Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent",6,"June"
"1894",38000,456,2022-07-06,2,1274,"9 out of 32",9,32,"Carpet Area","Kanakapura Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent",7,"July"
"1895",36000,432,2022-06-16,2,1200,"1 out of 4",1,4,"Carpet Area","whitefield","Bangalore","Furnished","Bachelors/Family",2,"Contact Agent",6,"June"
"1896",7500,90,2022-06-20,1,400,"3 out of 4",3,4,"Super Area","Chikkalasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1897",9000,108,2022-06-20,1,500,"Ground out of 4",1,4,"Super Area","Maruthi Sevanagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1898",18000,216,2022-06-04,3,1100,"11 out of 18",11,18,"Carpet Area","Doddabanahalli","Bangalore","Semi-Furnished","Bachelors",3,"Contact Owner",6,"June"
"1899",6500,78,2022-06-30,1,700,"1 out of 4",1,4,"Super Area","Electronic City Phase 2, Electronic City","Bangalore","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"1900",6000,72,2022-07-04,2,600,"2 out of 3",2,3,"Super Area","Chikkabanavara","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",7,"July"
"1901",18000,216,2022-06-09,2,1200,"3 out of 10",3,10,"Carpet Area","Kodigenahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1902",12000,144,2022-06-16,2,900,"2 out of 4",2,4,"Super Area","Shivananda Nagar, Vijayanagar","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1903",75000,900,2022-05-12,3,1850,"6 out of 11",6,11,"Carpet Area","Jaya Nagar Block 8, Jayanagar","Bangalore","Semi-Furnished","Bachelors",3,"Contact Agent",5,"May"
"1904",25000,300,2022-06-04,2,900,"Ground out of 1",1,1,"Super Area","Kammanahalli","Bangalore","Unfurnished","Family",2,"Contact Owner",6,"June"
"1905",20000,240,2022-06-16,2,1050,"2 out of 4",2,4,"Super Area","Hulimavu","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1906",8000,96,2022-05-27,2,1200,"2 out of 3",2,3,"Super Area","Vidyaranyapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1907",11000,132,2022-05-27,2,600,"2 out of 4",2,4,"Super Area","Electronic City","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1908",65000,780,2022-07-09,3,1480,"7 out of 14",7,14,"Carpet Area","Dodda Nekkundi Extension, Kartik Nagar, Outer Ring Road","Bangalore","Furnished","Family",2,"Contact Agent",7,"July"
"1909",6000,72,2022-05-23,1,400,"4 out of 5",4,5,"Super Area","Kasturi Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1910",160000,1920,2022-06-30,4,4500,"4 out of 4",4,4,"Carpet Area","Langford Gardens","Bangalore","Unfurnished","Bachelors",4,"Contact Agent",6,"June"
"1911",11000,132,2022-06-29,1,600,"Ground out of 3",1,3,"Super Area","Maruthi Extesnion, Rajajinagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1912",20000,240,2022-05-11,2,1100,"1 out of 5",1,5,"Super Area","Jp Nagar Phase 5, J P Nagar, Outer Ring Road","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1913",5500,66,2022-06-04,1,600,"Ground out of 3",1,3,"Super Area","Rayasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1914",12000,144,2022-06-04,3,1100,"6 out of 7",6,7,"Super Area","Shampura, Kaval Byrasandra","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner",6,"June"
"1915",21500,258,2022-07-04,3,1320,"3 out of 4",3,4,"Super Area","Bommasandra","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1916",9300,111.6,2022-05-19,2,500,"2 out of 4",2,4,"Super Area","Rajajinagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1917",6000,72,2022-05-19,1,600,"Ground out of 2",1,2,"Super Area","Choodasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1918",13000,156,2022-05-27,2,650,"1 out of 4",1,4,"Super Area","Arakere","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1919",7000,84,2022-06-20,1,300,"3 out of 3",3,3,"Carpet Area","New Thippasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1920",14000,168,2022-06-20,2,1000,"1 out of 4",1,4,"Super Area","Battarahalli","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1921",14000,168,2022-06-20,2,1200,"Ground out of 3",1,3,"Super Area","A Narayanapura, Mahadevapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1922",6000,72,2022-06-12,1,650,"2 out of 6",2,6,"Super Area","Banashankari","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1923",12500,150,2022-06-04,1,600,"1 out of 1",1,1,"Super Area","New Bel Road","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1924",7000,84,2022-04-28,1,400,"2 out of 7",2,7,"Carpet Area","Gunjur","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner",4,"April"
"1925",13000,156,2022-06-04,2,1000,"2 out of 3",2,3,"Super Area","Anantapura","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1926",20000,240,2022-07-07,2,1100,"2 out of 3",2,3,"Carpet Area","Hulimavu","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1927",24000,288,2022-05-23,2,1300,"2 out of 3",2,3,"Super Area","Ombr Layout, Banaswadi","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"1928",6000,72,2022-04-28,1,600,"3 out of 3",3,3,"Super Area","Hongasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",4,"April"
"1929",15000,180,2022-05-19,2,800,"1 out of 6",1,6,"Super Area","Chamrajpet","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1930",20000,240,2022-05-30,2,1115,"2 out of 4",2,4,"Super Area","Sahakara Nagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1931",17000,204,2022-05-31,2,1060,"1 out of 5",1,5,"Carpet Area","K R Puram","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"1932",35000,420,2022-05-19,3,1278,"3 out of 7",3,7,"Super Area","Mathikere","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1933",22000,264,2022-07-04,3,1500,"2 out of 4",2,4,"Super Area","Kanakapura Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner",7,"July"
"1934",18000,216,2022-07-04,2,1000,"2 out of 3",2,3,"Carpet Area","Jp Nagar Phase 7, J P Nagar","Bangalore","Semi-Furnished","Bachelors",2,"Contact Agent",7,"July"
"1935",120000,1440,2022-06-08,4,4105,"11 out of 25",11,25,"Carpet Area","Hebbal","Bangalore","Semi-Furnished","Bachelors/Family",4,"Contact Agent",6,"June"
"1936",10000,120,2022-06-27,2,800,"Ground out of 5",1,5,"Super Area","Adugodi","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1937",8000,96,2022-05-19,2,500,"1 out of 3",1,3,"Super Area","Vijayanagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1938",9500,114,2022-05-23,2,700,"Ground out of 4",1,4,"Super Area","Chikkalasandra","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1939",9000,108,2022-05-22,2,1055,"Ground out of 1",1,1,"Carpet Area","Sathnur","Bangalore","Semi-Furnished","Bachelors",2,"Contact Agent",5,"May"
"1940",31000,372,2022-06-30,3,1325,"1 out of 10",1,10,"Carpet Area","Jalahalli, Jalahalli, Outer Ring Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1941",14000,168,2022-06-29,2,950,"2 out of 4",2,4,"Super Area","Electronic City","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1942",7000,84,2022-05-28,1,450,"Ground out of 4",1,4,"Carpet Area","Banjara Layout","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1943",24000,288,2022-05-10,3,1200,"1 out of 3",1,3,"Super Area","Banaswadi","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1944",8000,96,2022-05-24,1,400,"2 out of 3",2,3,"Carpet Area","Electronic City Phase 2, Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1945",22000,264,2022-05-14,1,400,"Ground out of 3",1,3,"Super Area","Indira Nagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1946",12000,144,2022-04-29,2,600,"Ground out of 2",1,2,"Super Area","Vijay Enclave","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4,"April"
"1947",5000,60,2022-07-04,1,500,"1 out of 2",1,2,"Super Area","Vidyaranyapura","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",7,"July"
"1948",6000,72,2022-05-14,1,400,"3 out of 4",3,4,"Super Area","Hongasandra","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1949",30000,360,2022-05-23,2,1100,"2 out of 5",2,5,"Super Area","Maruthi Sevanagar","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1950",12000,144,2022-05-23,2,650,"2 out of 4",2,4,"Super Area","Bommanahalli","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1951",15000,180,2022-05-23,2,600,"2 out of 3",2,3,"Super Area","Ejipura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1952",14000,168,2022-06-04,2,800,"1 out of 3",1,3,"Super Area","Hongasandra","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1953",22000,264,2022-06-04,1,460,"3 out of 5",3,5,"Carpet Area","Murugeshpalya, Airport Road","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Agent",6,"June"
"1954",40000,480,2022-05-31,2,1380,"2 out of 9",2,9,"Carpet Area","Hal Layout, Hosur Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Agent",5,"May"
"1955",12000,144,2022-06-22,1,500,"1 out of 3",1,3,"Super Area","Banaswadi","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1956",15000,180,2022-06-04,2,825,"Ground out of 2",1,2,"Super Area","Hulimavu","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1957",9500,114,2022-05-23,2,700,"2 out of 6",2,6,"Super Area","Varthur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1958",15000,180,2022-05-27,2,1110,"1 out of 2",1,2,"Carpet Area","Subramanyapura","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",5,"May"
"1959",15000,180,2022-07-04,2,800,"2 out of 4",2,4,"Super Area","Panduranga Nagar, bannerghatta main Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1960",10000,120,2022-06-20,2,810,"Ground out of 2",1,2,"Super Area","Vijayanagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1961",15000,180,2022-05-27,4,1150,"Ground out of 3",1,3,"Super Area","Yelahanka New Town","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner",5,"May"
"1962",7000,84,2022-05-19,1,700,"3 out of 4",3,4,"Super Area","Mailasandar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1963",10000,120,2022-07-04,1,300,"2 out of 3",2,3,"Super Area","CV Raman Nagar","Bangalore","Unfurnished","Bachelors/Family",1,"Contact Owner",7,"July"
"1964",26969,323.628,2022-06-27,3,1400,"4 out of 14",4,14,"Super Area","Hoodi, Hoodi","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Owner",6,"June"
"1965",8000,96,2022-06-12,1,450,"2 out of 3",2,3,"Carpet Area","Channasandra","Bangalore","Unfurnished","Bachelors",1,"Contact Owner",6,"June"
"1966",52000,624,2022-07-06,3,1603,"26 out of 32",26,32,"Carpet Area","Kanakapura Road","Bangalore","Semi-Furnished","Bachelors/Family",3,"Contact Agent",7,"July"
"1967",30000,360,2022-07-05,3,1500,"1 out of 1",1,1,"Super Area","Ulsoor Road","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
"1968",6500,78,2022-05-20,1,200,"4 out of 4",4,4,"Super Area","Mahadevapura","Bangalore","Semi-Furnished","Bachelors",1,"Contact Owner",5,"May"
"1969",22000,264,2022-06-20,3,1500,"Ground out of 5",1,5,"Super Area","J P Nagar","Bangalore","Furnished","Bachelors/Family",3,"Contact Owner",6,"June"
"1970",10000,120,2022-06-20,1,600,"1 out of 3",1,3,"Super Area","Rajajinagar","Bangalore","Semi-Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1971",6000,72,2022-06-20,1,150,"3 out of 4",3,4,"Super Area","Malleshwaram","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner",6,"June"
"1972",13000,156,2022-05-19,2,750,"Ground out of 4",1,4,"Super Area","K R Puram","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1973",18000,216,2022-05-19,2,1300,"Ground out of 4",1,4,"Super Area","Basavanapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1974",30000,360,2022-05-19,4,1900,"3 out of 5",3,5,"Super Area","Bommanahalli","Bangalore","Unfurnished","Bachelors/Family",3,"Contact Owner",5,"May"
"1975",10000,120,2022-05-17,2,300,"Ground out of 4",1,4,"Carpet Area","Aditya Nagar-Vidyaranyapura, Vidyaranyapura","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",5,"May"
"1976",15000,180,2022-04-28,1,700,"2 out of 4",2,4,"Super Area","Varthur","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",4,"April"
"1977",70000,840,2022-06-12,2,1325,"12 out of 16",12,16,"Carpet Area","Koramangala Block 1","Bangalore","Semi-Furnished","Family",2,"Contact Agent",6,"June"
"1978",19000,228,2022-06-12,2,894,"3 out of 4",3,4,"Carpet Area","Amrutahalli","Bangalore","Unfurnished","Bachelors",2,"Contact Owner",6,"June"
"1979",20000,240,2022-06-11,2,1100,"3 out of 4",3,4,"Super Area","Electronic City","Bangalore","Semi-Furnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1980",9000,108,2022-06-20,2,600,"1 out of 4",1,4,"Super Area","Begur","Bangalore","Unfurnished","Bachelors/Family",2,"Contact Owner",6,"June"
"1981",5000,60,2022-05-19,1,500,"Ground out of 2",1,2,"Super Area","Vijayanagar","Bangalore","Furnished","Bachelors/Family",1,"Contact Owner",5,"May"
"1982",27500,330,2022-07-07,2,1000,"4 out of 4",4,4,"Carpet Area","ITI Layout","Bangalore","Furnished","Bachelors/Family",2,"Contact Owner",7,"July"
